# ---------------------------------------------------------
# Distances associées aux critères: Euclidienne, Samal, WuPalmer
# Attributs: URI
# Seuil d'indecision: 0.15
# Seuils des critères: [35.0, 100.0], [0.6], [0.7]
# Type de la géométrie: POINT
# ---------------------------------------------------------
ID_REF;NOM_REF;NUM_CANDIDAT;ID_CANDIDAT;NOM_CANDIDAT;URI_REF;URI_CANDIDAT;Euclidienne;Samal;WuPalmer;Proba pign premier;Proba pign second;Decision;GEOM_REF;GEOM_CANDIDAT
243233;Les Arias;6;SURFACTI0000000315642965;Bureau d'Information Touristique de Saint-Christophe en Oisans - la Bérarde;"http://purl.org/choucas.ign.fr/oor#gîte";"http://purl.org/choucas.ign.fr/oor#office_de_tourisme";231.33748;0.875;0.45455;0.02471;0.0;indécis;POINT (950449.905367775 6434009.69229431);POINT (950409 6433782)
243233;Les Arias;7;SURFACTI0000000028105695;Musée Mémoires d'Alpinismes;"http://purl.org/choucas.ign.fr/oor#gîte";"http://purl.org/choucas.ign.fr/oor#musée";262.86789;0.78182;0.45455;0.02532;0.0;indécis;POINT (950449.905367775 6434009.69229431);POINT (950434.1 6433747.3)
243233;Les Arias;8;SURFACTI0000000007463924;Mairie de Saint-Christophe-en-Oisans;"http://purl.org/choucas.ign.fr/oor#gîte";"http://purl.org/choucas.ign.fr/oor#mairie";232.59499;0.78986;0.45455;0.02477;0.0;indécis;POINT (950449.905367775 6434009.69229431);POINT (950406.675229357 6433781.15)
45027;Col de l'Agnelin;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#col";"";0.0;0.0;0.0;0.0;1.0;false;null;null
45027;Col de l'Agnelin;2;PAIOROGR0000000007454630;Col de l'Agnelin;"http://purl.org/choucas.ign.fr/oor#col";"http://purl.org/choucas.ign.fr/oor#col";5.4896;0.0;0.0;1.0;1.0;true;POINT (943270.413115437 6463179.25695847);POINT (943275.8 6463178.2)
809147;Pas des Voûtes;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#col";"";0.0;0.0;0.0;0.0;1.0;false;null;null
809147;Pas des Voûtes;2;PAIOROGR0000000007455715;Pas des Voûtes;"http://purl.org/choucas.ign.fr/oor#col";"http://purl.org/choucas.ign.fr/oor#col";224.99225;0.0;0.0;1.0;1.0;true;POINT (888182.36769271 6441450.38257072);POINT (888382.8 6441552.6)
809147;Pas des Voûtes;3;PAIE_NAT0000000007451633;les Voûtes;"http://purl.org/choucas.ign.fr/oor#col";"http://purl.org/choucas.ign.fr/oor#lieu-dit";237.10945;0.2;0.71429;0.0;1.0;false;POINT (888182.36769271 6441450.38257072);POINT (888022.8 6441275)
131823;Bénevise;1;NA;NA;"http";"";0.0;0.0;0.0;0.0;1.0;false;null;null
131823;Bénevise;2;PAIHABIT0000000006796423;Bénevise;"http";"http://purl.org/choucas.ign.fr/oor#lieu-dit";69.99289;0.0;2.0;1.0;1.0;true;POINT (901161.232865784 6406761.67108873);POINT (901143.479531101 6406829.37503106)
131823;Bénevise;3;SURFACTI0000002012025841;Gîte d'Étape de Bénevise;"http";"http://purl.org/choucas.ign.fr/oor#hébergement_accessible";94.28857;0.5;2.0;0.0;1.0;false;POINT (901161.232865784 6406761.67108873);POINT (901069.7 6406784.3)
37675;Crête des Ilettes;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#sommet";"";0.0;0.0;0.0;0.0116;0.9767999999999999;false;null;null
37675;Crête des Ilettes;2;PAIOROGR0000000007454584;Crête des Îlettes;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#crête";14.2291;0.04762;0.4;0.9884;0.9767999999999999;true;POINT (939720.013136238 6464061.63611501);POINT (939732.6 6464055)
133168;Grotte de la Glacière;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#grotte";"";0.0;0.0;0.0;0.0;1.0;false;null;null
133168;Grotte de la Glacière;2;PAIOROGR0000000007455791;Grotte de la Glacière;"http://purl.org/choucas.ign.fr/oor#grotte";"http://purl.org/choucas.ign.fr/oor#grotte";51.55295;0.0;0.0;1.0;1.0;true;POINT (897791.55630774 6440482.71272402);POINT (897799 6440431.7)
41506;Roche de la Gardette;1;NA;NA;"http://purl.org/choucas.ign.fr/oor#sommet";"";0.0;0.0;0.0;0.0;1.0;false;null;null
41506;Roche de la Gardette;2;PAIOROGR0000000075589691;Roche de la Gardette;"http://purl.org/choucas.ign.fr/oor#sommet";"http://purl.org/choucas.ign.fr/oor#rocher";141.68239;0.0;0.2;1.0;1.0;true;POINT (970210.345119557 6440708.25446353);POINT (970332.1 6440635.8)
946143;La Chapelle-en-Vercors;1;NA;NA;"http";"";0.0;0.0;0.0;0.0;0.0;indécis;null;null
946143;La Chapelle-en-Vercors;2;PAIHABIT0000000272391744;Lotissement les Alisiers;"http";"http://purl.org/choucas.ign.fr/oor#quartier";222.47678;0.85294;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890309.959549072 6432951)
946143;La Chapelle-en-Vercors;3;PAIHABIT0000000272391745;les Myosotis;"http";"http://purl.org/choucas.ign.fr/oor#quartier";243.70757;0.88235;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890650.073569181 6432952.35)
946143;La Chapelle-en-Vercors;4;PAIHABIT0000000325434832;Villeneuve;"http";"http://purl.org/choucas.ign.fr/oor#lieu-dit";197.14772;0.70588;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890321.6 6432658.4)
946143;La Chapelle-en-Vercors;5;PAIHABIT0000000230112565;les Gentianes;"http";"http://purl.org/choucas.ign.fr/oor#quartier";217.76044;0.84314;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890676.592575758 6432848.3)
946143;La Chapelle-en-Vercors;6;PAIHABIT0000000006793778;la Chapelle-en-Vercors;"http";"http://purl.org/choucas.ign.fr/oor#lieu-dit";181.26367;0.0;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890581.81912587 6432653)
946143;La Chapelle-en-Vercors;7;SURFACTI0000000315687341;Office de Tourisme de la Chapelle-en-Vercors;"http";"http://purl.org/choucas.ign.fr/oor#office_de_tourisme";55.83777;0.5;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890437.1 6432744.8)
946143;La Chapelle-en-Vercors;8;SURFACTI0000000230112567;Pl du Champ de Mars;"http";"http";109.21034;0.88235;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890490.2 6432686)
946143;La Chapelle-en-Vercors;9;SURFACTI0000000230112568;Place de la Poste;"http";"http";161.66093;0.88235;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890545.5 6432651.7)
946143;La Chapelle-en-Vercors;10;SURFACTI0000000006691121;École Primaire Philippe Saint-André;"http";"http://purl.org/choucas.ign.fr/oor#établissement_d&apos;enseignement";202.73938;0.92941;2.0;0.0;0.0;indécis;POINT (890466.09808275 6432792.51758433);POINT (890444.8 6432590.9)
